Total in C0 1790927 
Total in C1 3404438 
Total in C2 2407685
C_0	C_1	C_2
3102	1684	2296
3106	1685	2298
3109	1687	2302
3116	1689	2303
3119	1694	2305
3125	1697	2306
3128	1699	2308
3129	1700	2310
3131	1702	2314
3134	1707	2323
3135	1709	2329
3137	1710	2330
3142	1711	2331
3144	1712	2332
3162	1714	2336
3165	1715	2347
3176	1716	2353
3178	1717	2356
3181	1718	2359
3183	1719	2360
3189	1720	2361
3194	1722	2364
3203	1727	2368
3204	1728	2374
3206	1729	2375
3209	1730	2376
3212	1733	2378
3215	1734	2379
3219	1735	2380
3226	1736	2383
3230	1740	2385
3231	1741	2387
3238	1743	2397
3240	1745	2400
3246	1748	2402
3250	1749	2406
3251	1751	2409
3252	1753	2417
3258	1754	2422
3266	1757	2423
3272	1759	2424
3283	1760	2434
3286	1761	2439
3290	1764	2441
3293	1765	2443
3298	1766	2444
3306	1769	2445
3310	1771	2448
3312	1774	2454
3318	1781	2455
3321	1782	2457
3325	1787	2461
3328	1788	2476
3330	1789	2477
3337	1791	2481
3341	1795	2482
3342	1796	2488
3347	1798	2491
3360	1799	2492
3361	1801	2495
3368	1802	2496
3373	1804	2497
3375	1805	2500
3383	1810	2505
3394	1813	2511
3403	1814	2513
3410	1817	2514
3411	1819	2521
3412	1820	2522
3414	1821	2523
3416	1822	2528
3417	1823	2529
3418	1824	2533
3421	1826	2534
3422	1827	2536
3423	1831	2538
3432	1834	2540
3437	1836	2541
3446	1839	2542
3447	1841	2543
3448	1844	2548
3452	1848	2552
3461	1849	2553
3464	1851	2554
3470	1852	2559
3471	1853	2563
3475	1854	2564
3476	1855	2566
3480	1857	2567
3487	1860	2571
3490	1865	2574
3496	1866	2578
3498	1867	2585
3501	1869	2587
3510	1870	2588
3514	1871	2590
3516	1872	2597
3521	1873	2598
3531	1874	2599
3533	1876	2600
3534	1878	2609
3538	1879	2612
3542	1880	2613
3545	1881	2618
3550	1884	2622
3553	1887	2629
3557	1888	2632
3561	1889	2633
3562	1893	2641
3568	1894	2642
3569	1895	2643
3575	1898	2645
3576	1899	2649
3578	1901	2655
3584	1903	2658
3591	1904	2664
3592	1907	2669
3593	1909	2670
3606	1912	2674
3610	1913	2676
3612	1914	2678
